ID,Category,Subcategory,Asset Name,Description,States/Variants,Priority,Status,Dependencies,Notes
WA-002,World View,Atmosphere,Sky - Stable,After conditions develop,1,1,Not Started,WA-001,Familiar. Breathable feeling.
WA-003,World View,Atmosphere,Cloud Layer,Weather visible,3 variants,2,Not Started,WA-002,Water cycle working.
WA-004,World View,Atmosphere,Rain Effect,Precipitation,1,2,Not Started,WA-003,Particle or overlay.
WA-005,World View,Atmosphere,Mist Effect,Coastal moisture,1,2,Not Started,,Microhabitat indicator.
,,,,,,,,
,WORLD VIEW - SPIRITS,,,,,,,
SP-001,World View,Spirits,Spirit - Idle,Default Chao-like helper,1,1,Not Started,,Soft round body. Simple face. 2-3 colors. Core friend.
SP-002,World View,Spirits,Spirit - Moving,Traveling across world,2-3 frames,1,Not Started,SP-001,Bobbing/floating.
SP-003,World View,Spirits,Spirit - Tending,Intervention verb: plants,2 frames,1,Not Started,SP-001,Gentle garden energy.
SP-004,World View,Spirits,Spirit - Guiding,Intervention verb: animals,2 frames,2,Not Started,SP-001,Shepherd energy.
SP-005,World View,Spirits,Spirit - Encouraging,Intervention verb: ecosystems,2 frames,2,Not Started,SP-001,Soft supportive energy.
SP-006,World View,Spirits,Spirit - Shaping,Intervention verb: geology,2 frames,2,Not Started,SP-001,Patient sculptor energy.
SP-007,World View,Spirits,Spirit - Invoking,Intervention verb: weather,2 frames,3,Not Started,SP-001,Petitioner energy. Looking up.
SP-008,World View,Spirits,Spirit - Witnessing,Intervention verb: social/ritual (late game),1,3,Not Started,SP-001,Still. Present. Sacred.
SP-009,World View,Spirits,Spirit - Celebrating,Discovery/milestone reaction,2 frames,2,Not Started,SP-001,Joy! Bounce/sparkle.
SP-010,World View,Spirits,Spirit - Tired,Low Favor or depleted,1,2,Not Started,SP-001,Not sad. Just... worn. Waiting.
SP-011,World View,Spirits,Spirit - High Favor,Thriving world state,1,2,Not Started,SP-001,Extra glow? Brighter colors? Contentment.
SP-012,World View,Spirits,Spirit - Cluster,Multiple spirits grouped,1,2,Not Started,SP-001,Population growth indicator.
SP-013,World View,Spirits,Spirit Spawn Effect,New spirit appearing,2-3 frames,2,Not Started,SP-001,Magical pop-in.
,,,,,,,,
,WORLD VIEW - LIFE (BASE ASSETS FOR VARIATION),,,,,,,Note: These are bases. Color/size/detail variants multiply perceived abundance.
WL-001,World View,Life - Aquatic,Algae Bloom Base,First photosynthesizer,2 base shapes,1,Not Started,,Green murk. Color variants = different species.
WL-002,World View,Life - Aquatic,Kelp/Frond Base,Reaching aquatic plant,2 base shapes,1,Not Started,WL-001,Height/color variants.
WL-003,World View,Life - Aquatic,Filter Feeder Base,Sessile sea life,2 base shapes,2,Not Started,,Shape/color variants.
WL-004,World View,Life - Aquatic,Crawler Base,Early mobile grazer,2 base shapes,2,Not Started,,Shell shape/color variants.
WL-005,World View,Life - Aquatic,Swimmer Base,Soft-bodied jellyfish-ish,2 base shapes,2,Not Started,,Size/translucency variants.
WL-006,World View,Life - Terrestrial,Lichen Base,First land colonizer,2 base shapes,1,Not Started,,Color/spread pattern variants.
WL-007,World View,Life - Terrestrial,Moss Base,Ground cover,2 base shapes,1,Not Started,,Color/density variants.
WL-008,World View,Life - Terrestrial,Fungal Base,Underground network visible parts,3 base shapes,1,Not Started,,Cap shape/color/cluster variants.
WL-009,World View,Life - Terrestrial,Fern Base,First reaching plants,2 base shapes,1,Not Started,,Frond shape/size variants.
WL-010,World View,Life - Terrestrial,Liverwort Base,Flat wet-loving,1 base shape,2,Not Started,,Color variants.
WL-011,World View,Life - Terrestrial,Flower Base,Later game - needs pollinators,4 base shapes,2,Not Started,,Petal count/color/size = many species.
WL-012,World View,Life - Terrestrial,Tree Base,Complex reaching,3 base shapes,2,Not Started,,Leaf shape/height/fruit variants.
WL-013,World View,Life - Terrestrial,Grass Base,Ground cover - later,2 base shapes,2,Not Started,,Color/density variants.
WL-014,World View,Life - Terrestrial,Insect Base,First land arthropods,3 base shapes,2,Not Started,,Wing/color/size = many species.
WL-015,World View,Life - Geological,Mineral Vein Base,Different ore types,3 base shapes,1,Not Started,,Color/pattern variants.
WL-016,World View,Life - Geological,Crystal Formation Base,Special mineral,2 base shapes,2,Not Started,,Color/size variants.
WL-017,World View,Life - Geological,Salt Deposit,Tidal edge formation,1,1,Not Started,,Crystalline.
,,,,,,,,
,OBSERVATION UI,,,,,,,
OB-001,Observation,UI,Thing Card - Unnoticed,Before player has clicked,1,1,Not Started,,Greyed/hidden/silhouette.
OB-002,Observation,UI,Thing Card - Noticed,Name visible but details hidden,1,1,Not Started,OB-001,Partial reveal.
OB-003,Observation,UI,Thing Card - Observed,Description filling in,1,1,Not Started,OB-002,Behaviors starting to show.
OB-004,Observation,UI,Thing Card - Studied,Metrics visible,1,1,Not Started,OB-003,Numbers/patterns clear.
OB-005,Observation,UI,Thing Card - Known,Full information + intervention unlocked,1,1,Not Started,OB-004,Complete. Glowing edge?
OB-006,Observation,UI,Observation Progress Bar,Attention investment visual,1,1,Not Started,,Fills as player watches.
OB-007,Observation,UI,Insight Indicator,Current insight resource,1,1,Not Started,,How much understanding she has.
OB-008,Observation,UI,Intervention Menu,Options when thing is Known,1,1,Not Started,OB-005,Tend/Guide/Encourage/etc based on domain.
OB-009,Observation,UI,Intervention Cost Display,Insight/Essence cost,1,1,Not Started,OB-008,Clear before committing.
,,,,,,,,
,FAVOR UI,,,,,,,
FV-001,Favor,UI,Favor Meter,Relationship with world,5+ states (gradient),1,Not Started,,Not binary. Spectrum.
FV-002,Favor,UI,Favor Shift Indicator,When Favor changes,2 states (up/down),2,Not Started,FV-001,Feedback for player choices.
FV-003,Favor,UI,High Favor World Overlay,Subtle visual shift when Favor high,1,3,Not Started,,Warmer? Brighter? More alive?
FV-004,Favor,UI,Low Favor World Overlay,Subtle visual shift when Favor low,1,3,Not Started,,Cooler? Muted? Brittle feeling?
,,,,,,,,
,RESOURCE UI,,,,,,,
RU-001,Resources,UI,Essence Counter,Meta resource display,1,1,Not Started,,Always visible.
RU-002,Resources,UI,Insight Counter,World resource display,1,1,Not Started,,Understanding accumulated.
RU-003,Resources,UI,Knowing Counter,Meta understanding display,1,2,Not Started,,Carried between worlds.
RU-004,Resources,UI,World Metrics Panel,Nutrients/Oxygen/Stability/Complexity,1,2,Not Started,,Health indicators.
RU-005,Resources,UI,Metric Bar Base,Reusable bar for metrics,2 states (healthy/struggling),1,Not Started,,Color-coded.
,,,,,,,,
,GENERAL UI,,,,,,,
UI-001,UI,Frame,World View Frame,Book page border for world,1,1,Not Started,,Illustrated manuscript feeling.
UI-002,UI,Frame,Web View Frame,Border for condition selection,1,1,Not Started,,Distinct from world. More abstract.
UI-003,UI,Frame,Discovery Page Frame,Border for collected discoveries,1,1,Not Started,,Celebratory.
UI-004,UI,Frame,Journal Frame,Border for Brianna's entries,1,2,Not Started,,Personal. Handwritten feeling.
UI-005,UI,Button,Button Base,Standard clickable,2 states (default/hover),1,Not Started,,Consistent style.
UI-006,UI,Button,Return to Study,Exit world view,2 states,1,Not Started,UI-005,
UI-007,UI,Button,Open Web,Access condition selection,2 states,1,Not Started,UI-005,
UI-008,UI,Button,View Journal,Access Brianna's entries,2 states,2,Not Started,UI-005,
UI-009,UI,Button,View Discoveries,Access collection,2 states,1,Not Started,UI-005,
UI-010,UI,Panel,Notification Panel,Discovery/event alerts,1,1,Not Started,,Things happening.
UI-011,UI,Typography,Handwritten Font Sample,Her handwriting for journal/discoveries,1,1,Not Started,,Style reference.
UI-012,UI,Typography,Scientific Font Sample,For species names/metrics,1,2,Not Started,,Scholarly but warm.
,,,,,,,,
,DISCOVERY PAGES,,,,,,,
DP-001,Discoveries,Page,Discovery Page - First Life,Major milestone,1,1,Not Started,,This is huge. Art should reflect.
DP-002,Discoveries,Page,Discovery Page - First Plant,Land colonization,1,2,Not Started,,
DP-003,Discoveries,Page,Discovery Page - First Animal,Movement/intention,1,2,Not Started,,
DP-004,Discoveries,Page,Discovery Page - Synergy Found,When player discovers combination,1,2,Not Started,,Template for various synergies.
DP-005,Discoveries,Page,Discovery Page - Ladybug,The speedrun reward,1,3,Not Started,,Easter egg energy. She wanted this.
DP-006,Discoveries,Page,Discovery Page Template,Base for generating many,1,2,Not Started,,Scientific illustration style.
,,,,,,,,
,BOOK COVERS,,,,,,,
BC-001,Book Covers,Element,Cover Base - Neutral,Starting cover for new book,1,2,Not Started,,Before player customization.
BC-002,Book Covers,Element,Cover Base - High Favor,Earned through kind play,1,3,Not Started,,Warmer/more ornate.
BC-003,Book Covers,Element,Cover Base - Low Favor,Earned through extraction,1,3,Not Started,,Cooler/simpler/worn.
BC-004,Book Covers,Element,Cover Sticker - Ladybug,Decorative element,1,3,Not Started,,Player earnable.
BC-005,Book Covers,Element,Cover Sticker - First Life,Decorative element,1,3,Not Started,,Milestone marker.
BC-006,Book Covers,Element,Cover Sticker - Flower,Decorative element,1,3,Not Started,,
BC-007,Book Covers,Element,Cover Sticker - Spirit,Decorative element,1,3,Not Started,,
BC-008,Book Covers,Element,Cover Spine,Visible on bookshelf,1,2,Not Started,,Each world identifiable on shelf.
,,,,,,,,
,META PROGRESS,,,,,,,
MP-001,Meta Progress,Study,Planet Surface - Stage 1,First signs of life,1,3,Not Started,WS-007,Prestige reward.
MP-002,Meta Progress,Study,Planet Surface - Stage 2,More developed,1,3,Not Started,MP-001,
MP-003,Meta Progress,Study,Planet Surface - Stage 3,Thriving,1,3,Not Started,MP-002,Toward golden ending.
MP-004,Meta Progress,Object,Knowing Visualization,Accumulated understanding,1,3,Not Started,,Maybe constellation/web in study?
MP-005,Meta Progress,Object,Essence Vessel Upgrade,Increased capacity visual,2 stages,3,Not Started,WS-015,Gets bigger/glowier.
,,,,,,,,
,AUDIO PLACEHOLDER NOTES,,,,,,,
AU-001,Audio,Note,Ambient - Study,Quiet/cozy room,n/a,3,Not Started,,Fire? Wind? Scratching pen?
AU-002,Audio,Note,Ambient - World (Early),Sparse. Wind. Water.,n/a,3,Not Started,,Pre-life quiet.
AU-003,Audio,Note,Ambient - World (Living),More complex. Life sounds.,n/a,3,Not Started,,Grows with complexity metric.
AU-004,Audio,Note,SFX - Writing/Condition,Adding to the web,n/a,2,Not Started,,
AU-005,Audio,Note,SFX - Discovery,Chime/sparkle,n/a,2,Not Started,,Satisfying unlock.
AU-006,Audio,Note,SFX - Observation Complete,Thing becomes Known,n/a,2,Not Started,,Subtle. Rewarding.
AU-007,Audio,Note,SFX - Intervention,Spirit acting,n/a,2,Not Started,,Different per verb?
AU-008,Audio,Note,SFX - Favor Shift,Relationship change,n/a,3,Not Started,,Subtle. Not punishing.
AU-009,Audio,Note,Music - Study Theme,Cozy melancholy,n/a,3,Not Started,,Brianna's loneliness/warmth.
AU-010,Audio,Note,Music - World Theme,Wonder/growth,n/a,3,Not Started,,Life finding a way.
